Tabela 2.1 - Rendimento domiciliar per capita médio e mediano, por sexo e cor ou raça, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - Brasil - 2024;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento domiciliar per capita das pessoas (R$);;;;;;;;;;;;;;;;;;;;;
;Total;;Sexo;;;;Cor ou raça ;;;;;;;;Sexo e cor ou raça;;;;;;;
;;;Homem;;Mulher;;Branca;;Parda;;Preta;;Preta ou parda;;Homem branco;;Homem preto ou pardo;;Mulher branca;;Mulher preta ou parda;
;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano
Brasil;  2 017 ;  1 328 ;  2 077 ;  1 357 ;  1 960 ;  1 283 ;  2 692 ;  1 649 ;  1 499 ;  1 038 ;  1 545 ;  1 140 ;  1 508 ;  1 059 ;  2 765 ;  1 677 ;  1 570 ;  1 106 ;  2 624 ;  1 625 ;  1 447 ;  1 015 
Norte;  1 389 ;   899 ;  1 412 ;   919 ;  1 366 ;   874 ;  1 919 ;  1 148 ;  1 251 ;   833 ;  1 348 ;   984 ;  1 262 ;   850 ;  1 978 ;  1 195 ;  1 284 ;   868 ;  1 867 ;  1 119 ;  1 240 ;   828 
Rondônia;  1 724 ;  1 254 ;  1 782 ;  1 293 ;  1 667 ;  1 213 ;  2 131 ;  1 411 ;  1 548 ;  1 172 ;  1 708 ;  1 381 ;  1 565 ;  1 197 ;  2 304 ;  1 418 ;  1 579 ;  1 203 ;  1 964 ;  1 345 ;  1 550 ;  1 190 
Porto Velho;  1 882 ;  1 376 ;  1 938 ;  1 411 ;  1 825 ;  1 323 ;  2 563 ;  1 680 ;  1 675 ;  1 258 ;  1 970 ;  1 438 ;  1 703 ;  1 284 ;  2 826 ;  1 970 ;  1 698 ;  1 333 ;  2 296 ;  1 501 ;  1 707 ;  1 270 
Acre;  1 250 ;   750 ;  1 263 ;   762 ;  1 238 ;   735 ;  1 764 ;  1 067 ;  1 157 ;   716 ;   966 ;   658 ;  1 139 ;   712 ;  1 878 ;  1 098 ;  1 143 ;   717 ;  1 663 ;  1 014 ;  1 134 ;   711 
Rio Branco;  1 541 ;   940 ;  1 578 ;   958 ;  1 508 ;   911 ;  2 249 ;  1 390 ;  1 368 ;   865 ;  1 163 ;   704 ;  1 349 ;   857 ;  2 379 ;  1 398 ;  1 366 ;   868 ;  2 134 ;  1 311 ;  1 333 ;   845 
Amazonas;  1 237 ;   814 ;  1 255 ;   828 ;  1 220 ;   798 ;  1 732 ;  1 019 ;  1 141 ;   780 ;  1 357 ;   947 ;  1 152 ;   789 ;  1 759 ;  1 003 ;  1 180 ;   811 ;  1 710 ;  1 028 ;  1 124 ;   762 
Manaus;  1 502 ;   949 ;  1 542 ;   985 ;  1 464 ;   936 ;  2 032 ;  1 176 ;  1 351 ;   903 ;  1 558 ;  1 090 ;  1 364 ;   912 ;  2 116 ;  1 154 ;  1 408 ;   943 ;  1 965 ;  1 181 ;  1 320 ;   868 
